zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,1,0,0.6931471805599453,4.454347296253507,7.937731775260109
0,0,1,0,1.0986122886681098,3.970291913552122,7.0909098220799835
0,0,1,0,1.0986122886681098,4.04305126783455,8.35490952835879
0,1,0,0,1.0986122886681098,4.02535169073515,7.696667081526462
0,1,0,0,0.6931471805599453,3.828641396489095,7.00397413672268
0,0,1,0,0.6931471805599453,3.6375861597263857,7.186144304522325
0,1,0,0,1.3862943611198906,5.802118375377063,9.61587214452889
1,0,0,0,1.0986122886681098,4.110873864173311,7.438971592395862
0,1,0,0,0.6931471805599453,4.0943445622221,7.237778191923443
1,0,0,0,1.0986122886681098,5.493061443340548,9.392745258631441
1,0,0,0,1.0986122886681098,4.189654742026425,7.601402334583733
0,1,0,0,0.6931471805599453,3.713572066704308,7.00397413672268
1,0,0,0,1.0986122886681098,4.31748811353631,7.0909098220799835
1,0,0,0,0.6931471805599453,4.394449154672439,7.0909098220799835
0,1,0,0,0.6931471805599453,3.044522437723423,13.304686600863562
0,0,1,0,1.0986122886681098,3.9318256327243257,7.206377291472252
0,1,0,0,0.6931471805599453,3.713572066704308,13.527829818844937
0,0,0,1,0.6931471805599453,3.9318256327243257,8.071218539969863
0,0,1,0,1.0986122886681098,4.2626798770413155,7.824445930877619
1,0,0,0,1.0986122886681098,4.61512051684126,7.591357046698551
1,0,0,0,1.0986122886681098,4.2626798770413155,7.208600337960199
0,0,1,0,0.6931471805599453,4.6913478822291435,8.922791623969637
0,1,0,0,0.6931471805599453,3.044522437723423,7.390798521735676
1,0,0,0,1.3862943611198906,5.272999558563747,8.221747728346623
0,0,1,0,1.0986122886681098,4.23410650459726,7.186144304522325
1,0,0,0,1.0986122886681098,4.02535169073515,7.186144304522325
1,0,0,0,1.0986122886681098,4.51085950651685,8.294299608857235
0,0,0,1,1.0986122886681098,4.174387269895637,8.294299608857235
0,1,0,0,1.6094379124341003,5.771441123130016,9.04793908261736
0,0,1,0,1.3862943611198906,4.1588830833596715,7.409136443920128
0,0,0,1,0.6931471805599453,4.02535169073515,7.467942332285852
0,1,0,0,0.6931471805599453,3.4965075614664802,7.215975002651466
0,0,1,0,0.6931471805599453,4.110873864173311,7.280008252884188
1,0,0,0,0.6931471805599453,4.962844630259907,7.496097345175956
0,0,0,1,1.0986122886681098,3.713572066704308,7.601402334583733
1,0,0,0,1.0986122886681098,3.6635616461296463,7.0909098220799835
0,0,1,0,1.791759469228055,5.5254529391317835,8.294299608857235
1,0,0,0,1.0986122886681098,3.871201010907891,7.601402334583733
0,0,1,0,0.6931471805599453,4.31748811353631,8.517393171418904
0,1,0,0,1.3862943611198906,4.143134726391533,13.68767832281738
0,0,1,0,0.6931471805599453,3.2188758248682006,7.824445930877619
0,1,0,0,1.0986122886681098,4.2626798770413155,13.652992804936396
0,0,0,1,1.0986122886681098,4.394449154672439,8.412054873292933
1,0,0,0,1.0986122886681098,4.189654742026425,7.269616749608169
1,0,0,0,0.6931471805599453,3.4965075614664802,13.805461232211272
0,0,0,1,1.3862943611198906,5.198497031265826,8.160803920954665
1,0,0,0,1.0986122886681098,3.828641396489095,7.167809184316444
1,0,0,0,0.6931471805599453,3.4339872044851463,7.00397413672268
0,1,0,0,1.0986122886681098,4.574710978503383,7.630946580890459
0,0,0,1,1.6094379124341003,5.673323267171493,8.006700845440367
1,0,0,0,0.6931471805599453,4.143134726391533,13.785052381406869
0,0,1,0,1.3862943611198906,4.875197323201151,7.777373602657861
1,0,0,0,0.6931471805599453,4.61512051684126,13.45883704259595
0,0,0,1,1.0986122886681098,3.871201010907891,7.601402334583733
1,0,0,0,0.6931471805599453,3.828641396489095,13.710151153416941
